mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,varieties
214.9854336,214.0968386,210.9039696,24.7579491,22.52807034,26.10220453,63.14879146,6.91768279,216.0746513,63.80296007,6.05394544,23.30329073,0
221.9148346,219.5623609,216.6150646,25.50822315,23.27438984,26.70190822,62.38920093,7.587143658,222.6351915,67.41150666,6.229581305,24.12378165,0
223.167306,219.7351748,217.0786311,25.90852776,24.45416933,27.9784761,66.66278272,8.549133885,223.7745858,71.1132827,9.396364728,24.85478608,0
216.7834945,214.6009672,211.4250575,25.04107891,23.02883386,27.10830502,61.47797127,8.508593878,217.7863807,63.00354374,7.134012193,23.86670939,0
191.7277165,210.2332518,208.4068562,33.80513011,26.58118449,30.73951222,86.30381684,26.08610557,211.4706011,14.34758941,13.60415166,27.65179804,0
220.6212922,216.2173654,211.7147549,25.74344212,23.9878589,28.02035575,30.85938035,11.39240349,221.0131152,49.66149668,6.620034773,24.88066994,0
226.55775,220.987992,218.6394397,23.63551391,23.1439847,25.64393091,50.1018777,9.645455071,226.6482139,69.34963172,6.414870258,23.41078917,0
195.3507696,213.756385,215.7284438,28.23927797,22.7498655,26.23734525,92.89274811,26.02847754,216.7115221,7.485724346,10.73858807,24.65695527,0
218.3856768,214.2861165,210.1644056,23.74990519,20.69173261,24.35412916,28.11034709,10.87793608,219.0509808,45.07005568,5.820940297,22.31068408,0
215.7567812,211.2410693,206.1436681,22.58852341,20.26467904,25.0397201,35.0734365,12.4266175,216.1279469,52.78960018,7.233892066,21.75051212,0
213.5475516,211.7693719,208.2473045,25.19447502,22.77139008,26.07888923,54.15487764,8.23053416,214.5873314,59.95066262,6.625493417,23.54898809,0
216.5927305,211.2460432,206.4059319,24.78109867,23.07080589,26.93450369,35.15046266,13.18404742,217.1260246,52.03867773,9.32656971,23.77960366,0
212.6699941,211.3788362,207.7549113,28.85460763,25.87232021,30.06632526,66.36039183,8.455591175,213.9527695,65.52715601,6.963492401,26.82053187,0
197.83655,212.9850349,214.8241701,32.98244693,26.77984875,29.46058228,93.60298938,22.18840329,215.6249473,7.017814363,10.91343829,28.24657482,0
216.7294746,215.0690628,211.062284,25.81565737,23.92822873,29.22685563,69.00863395,9.173608852,217.8523721,66.0478668,10.40440861,24.11133209,0
202.7257634,210.7514789,215.5956329,30.8413387,25.31926946,28.52138248,101.5011477,16.65831354,216.0851177,20.92305445,9.545939158,27.76629893,0
219.7710189,217.4246418,214.4438421,24.42697234,22.32687224,26.01276397,70.12708011,7.939251955,220.5897346,69.60420457,7.307802636,22.98150648,0
217.3565012,213.5796021,210.3088661,25.94286298,23.76529302,27.5369839,62.10632558,9.934458253,218.0854062,69.53657618,6.969718325,24.72527509,0
214.6137226,213.8051147,209.1975792,25.78301776,22.8517268,28.20096193,64.20255,9.063571329,216.0127454,63.68002074,9.182449296,23.49649585,0
219.4620694,215.3990402,211.7162557,26.79321696,23.53395475,27.69315797,45.00933388,10.66812579,220.324861,62.47106652,6.918386988,25.04403082,0
207.3859341,207.7548579,201.0938606,29.35278362,26.12317442,32.57675972,55.78515045,11.79035325,209.5693833,54.50492057,11.96984925,26.64660998,0
207.3859341,207.7548579,201.0938606,29.35278362,26.12317442,32.57675972,55.78515045,11.79035325,209.5693833,54.50492057,11.96984925,26.64660998,0
88.38010845,165.2560153,103.0175096,6.465129735,4.734523338,6.17229403,65.70678467,118.7419488,165.2560153,0.635540777,7.05189579,4.734523338,0
216.2524764,214.4030028,210.7251349,25.3312196,23.31356116,27.61326728,58.8713837,9.035623972,217.4217628,60.56332791,9.0278375,23.94122561,0
221.6314611,217.5219523,213.6526451,24.18280327,22.1094846,25.85573578,44.56228371,10.12530613,221.9513557,60.7907325,5.972641584,23.54732692,0
195.7168122,214.3017329,215.0513793,33.03238256,24.77399547,27.02871076,91.26898351,25.55769902,216.1796179,5.856435744,14.65296876,25.7885267,0
213.4182216,211.5687131,207.5531647,26.03074766,23.96986594,28.08584722,54.06812154,8.690454317,214.1690472,61.16024247,7.666913222,24.86427471,0
218.5086902,213.953369,209.6859637,24.10976653,21.49068375,25.35498779,34.44189131,11.45217277,219.0365505,52.90361876,7.294707512,23.00201946,0
